time,latitude,longitude,depth,mag,days_since_start,is_mainshock
2019-07-04 17:50:48.290000+00:00,35.738,-117.5293333,7.72,2.73,0.06741805555555555,False
2019-07-04 17:50:48.960000+00:00,35.678,-117.4991667,1.14,2.79,0.06742581018518519,False
2019-07-04 17:51:46.650000+00:00,35.674,-117.5235,5.3,3.46,0.06809351851851851,False
2019-07-04 17:52:06.950000+00:00,35.7408333,-117.5588333,7.11,2.42,0.06832847222222223,False
2019-07-04 17:52:41.700000+00:00,35.7218333,-117.5251667,7.04,2.92,0.0687306712962963,False
2019-07-04 17:53:14.940000+00:00,35.7011667,-117.4906667,1.08,2.13,0.06911539351851852,False
2019-07-04 17:53:25.560000+00:00,35.644,-117.5411667,12.89,2.2,0.06923831018518518,False
2019-07-04 17:53:50.220000+00:00,35.636,-117.5441667,10.16,2.24,0.06952372685185186,False
2019-07-04 17:54:59.560000+00:00,35.6391667,-117.5628333,10.48,2.53,0.07032627314814814,False
2019-07-04 17:55:26.820000+00:00,35.6335,-117.5798333,11.2,2.49,0.0706417824074074,False
2019-07-04 17:55:30.800000+00:00,35.6705,-117.5221667,3.91,2.57,0.07068784722222222,False
2019-07-04 17:55:46.150000+00:00,35.7553333,-117.5576667,2.46,2.24,0.07086550925925926,False
2019-07-04 17:55:54.590000+00:00,35.7071667,-117.4738333,1.27,2.35,0.07096319444444445,False
2019-07-04 17:56:09.300000+00:00,35.6271667,-117.577,15.61,2.29,0.07113344907407408,False
2019-07-04 17:56:21.920000+00:00,35.5928333,-117.588,8.93,2.33,0.0712795138888889,False
2019-07-04 17:56:55.520000+00:00,35.695,-117.4921667,1.77,2.33,0.07166840277777778,False
2019-07-04 17:57:31.460000+00:00,35.6595,-117.5223333,2.3,2.95,0.072084375,False
2019-07-04 17:57:43.060000+00:00,35.6725,-117.4743333,8.76,2.78,0.07221863425925926,False
2019-07-04 17:58:02.640000+00:00,35.702,-117.5083333,4.77,3.33,0.07244525462962964,False
2019-07-04 17:58:19.150000+00:00,35.7296667,-117.5225,3.1,2.49,0.07263634259259259,False
2019-07-04 17:58:48.660000+00:00,35.6913333,-117.5008333,9.01,2.27,0.07297789351851852,False
2019-07-04 17:59:38.880000+00:00,35.6896667,-117.5153333,9.06,2.13,0.07355914351851853,False
2019-07-04 17:59:59.870000+00:00,35.6911667,-117.493,3.17,2.44,0.07380208333333334,False
2019-07-04 18:00:12.640000+00:00,35.6973333,-117.5001667,2.3,2.15,0.07394988425925926,False
2019-07-04 18:00:28.370000+00:00,35.6745,-117.5036667,1.55,1.95,0.07413194444444444,False
2019-07-04 18:00:40.190000+00:00,35.6303333,-117.569,1.64,2.67,0.07426875,False
2019-07-04 18:00:53.360000+00:00,35.7331667,-117.5218333,10.5,2.02,0.07442118055555555,False
2019-07-04 18:01:01.190000+00:00,35.6733333,-117.5118333,1.49,2.59,0.07451180555555555,False
2019-07-04 18:01:23.180000+00:00,35.6876667,-117.5085,1.26,3.53,0.07476631944444445,False
2019-07-04 18:01:31.230000+00:00,35.5978333,-117.5905,6.79,3.42,0.07485949074074073,False
2019-07-04 18:01:58.510000+00:00,35.6975,-117.5103333,3.61,2.28,0.07517523148148149,False
2019-07-04 18:02:36.630000+00:00,35.7356667,-117.5386667,10.55,2.42,0.07561643518518518,False
2019-07-04 18:02:54.110000+00:00,35.6066667,-117.5821667,5.8,2.53,0.07581875,False
2019-07-04 18:03:14.770000+00:00,35.6915,-117.5551667,4.07,2.07,0.07605787037037037,False
2019-07-04 18:03:18.590000+00:00,35.7478333,-117.5425,6.85,2.85,0.07610208333333333,False
2019-07-04 18:03:33.640000+00:00,35.6606667,-117.535,2.54,2.11,0.07627627314814815,False
2019-07-04 18:03:40.340000+00:00,35.723,-117.5283333,4.66,2.46,0.07635381944444444,False
2019-07-04 18:04:05.160000+00:00,35.6658333,-117.5345,1.84,2.11,0.07664108796296296,False
2019-07-04 18:04:28+00:00,35.7153333,-117.5168333,7.19,2.36,0.07690543981481482,False
2019-07-04 18:04:29.690000+00:00,35.7395,-117.5498333,7.25,2.42,0.076925,False
2019-07-04 18:04:58.670000+00:00,35.734,-117.5276667,7.25,2.47,0.07726041666666666,False
2019-07-04 18:05:07.690000+00:00,35.7178333,-117.5646667,2.89,2.48,0.07736481481481482,False
2019-07-04 18:05:41.830000+00:00,35.7153333,-117.5295,4.54,2.76,0.0777599537037037,False
2019-07-04 18:05:55.910000+00:00,35.7266667,-117.5165,8.96,2.61,0.07792291666666666,False
2019-07-04 18:06:16.110000+00:00,35.6606667,-117.523,2.14,3.79,0.07815671296296296,False
2019-07-04 18:06:51.050000+00:00,35.6931667,-117.462,11.56,2.6,0.07856111111111111,False
2019-07-04 18:07:09.270000+00:00,35.5991667,-117.6101667,2.12,3.51,0.07877199074074073,False
2019-07-04 18:07:10.910000+00:00,35.6508333,-117.542,2.77,3.49,0.07879097222222223,False
2019-07-04 18:07:20.290000+00:00,35.5688333,-117.6365,6.67,3.02,0.07889953703703703,False
2019-07-04 18:07:50.810000+00:00,35.7295,-117.533,7.25,2.55,0.07925277777777777,False
2019-07-04 18:08:15.280000+00:00,35.7101667,-117.4803333,-0.77,2.43,0.07953599537037037,False
2019-07-04 18:08:33.160000+00:00,35.6678333,-117.5061667,2.27,3.38,0.07974293981481481,False
2019-07-04 18:08:45.070000+00:00,35.7108333,-117.4768333,1.17,3.55,0.07988078703703703,False
